,index,loss,acc,val_loss,val_acc
0,0,4.265765190124512,0.5703827738761902,2.2313363552093506,0.5669291615486145
1,1,1.2663599252700806,0.6106469035148621,0.6796585917472839,0.7745168209075928
2,2,0.730848491191864,0.6618126630783081,0.7370097637176514,0.5676449537277222
3,3,0.6664774417877197,0.6977003216743469,0.602888822555542,0.7780959010124207
4,4,0.6375278830528259,0.7260285019874573,0.6216387152671814,0.7537580728530884
5,5,0.5232533812522888,0.8178563117980957,0.5133926272392273,0.8045812249183655
6,6,0.43467122316360474,0.8546988368034363,0.5004934668540955,0.7902648448944092
7,7,0.43890684843063354,0.8484125137329102,0.5035746693611145,0.8060128688812256
8,8,0.3744696378707886,0.8765019774436951,0.45016181468963623,0.8239083886146545
9,9,0.319890558719635,0.8982254862785339,0.4205540418624878,0.8453829884529114
